,Date,Open,High,Low,Close
588,2014-09-22,77.0,77.53,75.95,76.8
587,2014-09-19,77.4,78.3,76.44,77.91
586,2014-09-18,76.77,77.33,76.52,77.0
585,2014-09-17,75.96,77.25,75.57,76.43
584,2014-09-16,73.52,76.23,73.07,76.08
583,2014-09-15,77.15,77.25,73.43,74.58
582,2014-09-12,78.02,78.3,77.1,77.48
581,2014-09-11,77.13,78.36,77.05,77.92
580,2014-09-10,76.52,77.95,76.51,77.43
579,2014-09-09,77.59,78.17,76.2,76.67
578,2014-09-08,77.26,78.17,77.01,77.89
577,2014-09-05,76.1,77.38,75.598,77.26
576,2014-09-04,75.89,76.93,75.53,75.95
575,2014-09-03,77.14,77.48,75.6,75.83
574,2014-09-02,75.01,76.7,74.82,76.68
573,2014-08-29,74.3,74.82,74.01,74.82
572,2014-08-28,74.0,74.43,73.73,73.855
571,2014-08-27,75.27,75.49,74.46,74.63
570,2014-08-26,75.0,75.99,74.73,75.9601
569,2014-08-25,74.94,75.28,74.79,75.02
568,2014-08-22,74.34,74.73,73.57,74.57
567,2014-08-21,74.92,75.19,74.4149,74.57
566,2014-08-20,74.97,75.18,74.62,74.81
565,2014-08-19,74.81,75.58,74.77,75.29
564,2014-08-18,74.0,74.72,73.96,74.59
563,2014-08-15,74.32,74.65,73.0,73.63
562,2014-08-14,73.97,74.38,73.69,74.296
561,2014-08-13,73.12,74.25,73.05,73.77
560,2014-08-12,73.09,73.3301,72.22,72.83
559,2014-08-11,73.46,73.91,73.06,73.44
558,2014-08-08,73.4,73.43,72.56,73.06
557,2014-08-07,73.0,74.0,72.7,73.17
556,2014-08-06,72.02,73.72,71.79,72.47
555,2014-08-05,73.2,73.59,72.18,72.69
554,2014-08-04,72.36,73.88,72.36,73.51
553,2014-08-01,72.22,73.22,71.55,72.36
552,2014-07-31,74.0,74.165,72.44,72.65
551,2014-07-30,74.21,75.19,74.13,74.677
550,2014-07-29,74.72,74.92,73.4229,73.71
549,2014-07-28,75.17,75.5,73.85,74.92
548,2014-07-25,74.99,75.67,74.662,75.19
547,2014-07-24,75.96,76.74,74.51,74.98
546,2014-07-23,69.74,71.33,69.61,71.29
545,2014-07-22,69.76,69.77,68.61,69.27
544,2014-07-21,68.81,69.96,68.5,69.4
543,2014-07-18,66.8,68.46,66.16,68.4199
542,2014-07-17,67.03,67.85,66.04,66.4099
541,2014-07-16,67.54,67.94,67.07,67.66
540,2014-07-15,67.96,68.0899,66.26,67.165
539,2014-07-14,67.13,68.17,66.9,67.9
538,2014-07-11,65.28,66.59,64.79,66.34
537,2014-07-10,63.31,65.34,63.05,64.8725
536,2014-07-09,63.41,65.12,63.15,64.97
535,2014-07-08,65.06,65.56,62.21,62.76
534,2014-07-07,66.3,66.57,65.12,65.29
533,2014-07-03,66.855,67.0,65.76,66.29
532,2014-07-02,68.04,68.3,65.79,66.45
531,2014-07-01,67.58,68.44,67.39,68.06
530,2014-06-30,67.46,67.92,67.13,67.29
529,2014-06-27,67.31,67.7,66.84,67.6
528,2014-06-26,68.0,68.0,66.9,67.13
527,2014-06-25,65.58,67.48,65.57,67.44
526,2014-06-24,65.36,67.17,65.27,65.72
525,2014-06-23,64.32,65.66,64.22,65.37
524,2014-06-20,64.46,64.81,63.35,64.5
523,2014-06-19,65.46,65.5756,64.21,64.3415
522,2014-06-18,64.49,65.75,64.05,65.6
521,2014-06-17,64.1,64.88,63.93,64.4
520,2014-06-16,64.16,64.88,63.75,64.19
519,2014-06-13,64.7,64.97,63.83,64.5
518,2014-06-12,65.85,66.47,64.06,64.2901
517,2014-06-11,65.32,65.8,64.9,65.781
516,2014-06-10,63.53,65.82,63.5,65.77
515,2014-06-09,62.4,63.34,61.79,62.88
514,2014-06-06,63.37,63.48,62.15,62.5
513,2014-06-05,63.66,64.36,62.82,63.186
512,2014-06-04,62.45,63.59,62.07,63.34
511,2014-06-03,62.62,63.42,62.32,62.87
510,2014-06-02,63.23,63.59,62.05,63.08
509,2014-05-30,63.95,64.17,62.56,63.3
508,2014-05-29,63.84,64.3,63.51,63.83
507,2014-05-28,63.39,64.14,62.62,63.51
506,2014-05-27,61.62,63.51,61.57,63.48
505,2014-05-23,60.41,61.45,60.15,61.351
504,2014-05-22,60.94,61.48,60.4,60.52
503,2014-05-21,58.56,60.5,58.25,60.49
502,2014-05-20,59.5,60.19,58.18,58.56
501,2014-05-19,57.89,59.56,57.57,59.21
500,2014-05-16,58.31,58.45,57.31,58.0199
499,2014-05-15,59.26,59.38,57.52,57.919
498,2014-05-14,59.53,60.45,58.95,59.23
497,2014-05-13,59.66,60.89,59.51,59.83
496,2014-05-12,57.98,59.9,57.98,59.83
495,2014-05-09,56.85,57.65,56.38,57.24
494,2014-05-08,57.23,58.82,56.5,56.76
493,2014-05-07,58.77,59.3,56.26,57.39
